house_id,size_sqft,bedrooms,age_years,frontage_ft,depth_ft,distance_city_km,price_ugx
W3H052,1727,2,13,30.4,123.8,21,620000
W3H053,1137,3,19,59.3,150.9,23.1,498000
W3H054,1226,3,22,69.9,120.9,27.4,542000
W3H055,2058,5,2,82.2,108.8,18.4,780000
W3H056,2404,3,39,48.9,157.4,10.3,800000
W3H057,1613,1,39,45.1,121.1,25.7,473000
W3H058,1934,4,27,51.5,168.8,26.7,710000
W3H059,2606,3,63,33.8,88.6,31.4,727000
W3H060,1534,2,32,90.5,131.8,2.1,674000
W3H061,3495,6,5,87.2,136.1,17,1142000
W3H062,1267,1,3,69.1,168.9,3.4,600000
W3H063,3408,6,25,34.8,71.2,16.6,1046000
W3H064,3230,6,12,35.4,156.7,16.1,1003000
W3H065,3473,6,60,90.6,142,8.2,1114000
W3H066,3002,5,58,38.1,163.3,32,867000
W3H067,2209,4,67,39.5,133.1,24.2,646000
W3H068,2439,3,35,81.1,114.5,13.3,798000
W3H069,1259,2,34,49.6,155.6,25.7,478000
W3H070,1668,2,61,56.8,94.1,9,593000
W3H071,2016,2,44,56.7,66.7,10.2,704000
W3H072,3443,6,60,75.5,150,25.2,1026000
W3H073,2994,3,13,60.7,157.5,22.7,946000
W3H074,2311,3,13,82.8,159.4,25.4,805000
W3H075,2405,2,3,62.2,113.7,13.4,744000
W3H076,1926,3,27,48.9,147.9,7.1,739000
W3H077,1887,3,55,42.6,145.6,14.8,641000
W3H078,3306,6,36,79.1,94.6,24.1,1010000
W3H079,662,3,38,44.3,151.9,27.3,308000
W3H080,1592,3,6,69.6,175.7,29,668000
W3H081,1854,2,8,69.1,102.3,31.8,640000
W3H082,2703,6,5,92.6,92.8,11.1,1004000
W3H083,1865,2,25,35.8,130.1,27.1,654000
W3H084,1575,3,58,43.5,165.3,32,520000
W3H085,881,2,51,73,133,10,480000
W3H086,1421,1,57,51.5,176.4,1.7,603000
W3H087,961,3,20,38.4,170.7,5.8,478000
W3H088,2717,4,26,88.2,145.3,25.2,902000
W3H089,1912,3,67,77.5,144.8,26,662000
W3H090,1322,1,49,44.5,81.4,9.4,557000
W3H091,2243,4,48,36.2,100.9,30.2,688000
W3H092,2104,3,36,84.8,157.2,8.7,866000
W3H093,2044,2,7,67,108.1,23.7,743000
W3H094,2361,5,52,90.4,87.4,7.1,776000
W3H095,2498,4,25,63.6,67.6,24.6,768000
W3H096,1207,2,22,45,86.8,3,573000
W3H097,1107,3,50,38.7,129.3,19.5,411000
W3H098,2807,5,33,57.2,170.9,12.1,976000
W3H099,3519,6,11,74.5,107,21.6,1145000
W3H100,2268,4,62,30.3,154.7,28.5,695000
W3H101,1979,2,27,55.7,75.5,11.3,753000
W3H102,2483,4,57,56.2,158.7,30.5,825000
W3H103,752,2,28,73.6,171.3,15.3,438000
W3H104,1747,3,21,42.7,120.3,13.7,670000
W3H105,1708,2,56,86.9,114.6,7.7,671000
W3H106,1889,1,61,51.1,169,3.2,707000
W3H107,2844,5,21,83.7,87.3,3.4,940000
W3H108,2109,3,27,83.8,170.5,27.4,756000
W3H109,3174,5,38,87.5,170.1,1.7,1044000
W3H110,2036,4,47,46.8,174.9,21.3,707000
W3H111,750,1,35,84.6,166.9,20.1,402000
W3H112,2643,4,49,45,123.1,19.4,773000
W3H113,3004,3,57,56,141.8,15.5,874000
W3H114,2352,2,28,41.5,124,3.4,806000
W3H115,3415,6,59,61.5,96.2,7.4,1138000
W3H116,1877,3,57,34.9,178.9,22.7,590000
W3H117,3001,5,68,92.2,63,28.7,880000
W3H118,655,1,32,30.8,90.2,16.2,288000
W3H119,764,2,59,62.3,171.4,13.4,391000
W3H120,2992,5,67,84.5,174.3,26.9,978000
W3H121,3226,5,65,38.6,93.5,2.7,1013000
W3H122,2182,4,65,68.8,180,19.8,782000
W3H123,2870,5,27,64.5,157.5,31.1,930000
W3H124,1613,2,63,79.2,153.2,14.6,645000
W3H125,2794,5,30,75.4,128.6,10.7,889000
W3H126,2124,4,63,83.6,107.3,12.9,771000
W3H127,1545,2,56,81.6,61.1,19,547000
W3H128,925,1,10,67.9,103.9,28.4,420000
W3H129,1165,2,8,52.7,105,23.7,523000
W3H130,3318,6,45,37,69.8,11.9,1032000
W3H131,1959,2,17,40.6,70.1,13.2,718000
W3H132,3569,6,51,86.6,91.6,20.9,1026000
W3H133,1690,3,54,47.3,119.3,20.7,617000
W3H134,823,1,37,88.1,152.9,5,474000
W3H135,1405,2,54,49.9,130.7,19.1,526000
W3H136,1706,1,37,33.7,124.9,24.3,613000
W3H137,2717,3,39,48.8,155.6,5.4,895000
W3H138,2803,3,14,55,161.8,25.2,870000
W3H139,2824,4,41,36.7,112.8,6,875000
W3H140,1577,2,11,57.9,132.9,4.1,667000
W3H141,1771,2,43,81.9,170.6,18.5,719000
W3H142,2322,4,54,56.9,69.6,25.3,672000
W3H143,2438,4,53,62.1,133.1,20.3,814000
W3H144,1878,2,10,94.9,153.2,20,651000
W3H145,1211,1,55,44,111.3,4.3,481000
W3H146,2933,4,50,65.4,150,19.2,942000
W3H147,2186,3,10,94.2,160.8,17.2,820000
W3H148,3477,5,5,62.2,151.7,1.9,1117000
W3H149,3441,6,45,68.4,124.4,24.9,1024000
W3H150,3270,6,28,65.5,146.9,8.2,1123000
W3H151,3484,6,34,37.5,145.1,15.6,1121000
W3H152,2481,5,1,76.5,106,15.4,954000
W3H153,1529,1,16,89.3,62.6,22.2,589000
W3H154,1122,2,46,90.2,174,27.8,512000
W3H155,960,2,44,68.1,116.1,25.3,447000
W3H156,3443,6,20,52.9,95.8,8,1060000
W3H157,1447,4,23,73.9,90.1,8.5,609000
W3H158,719,3,32,91.4,107.9,14.6,471000
W3H159,760,2,23,93.6,129.3,12.6,484000
W3H160,1528,3,20,48.4,122.1,23.4,621000
W3H161,3539,5,21,90.8,105.9,18.2,1105000
W3H162,1480,1,36,77.5,69.3,15.2,527000
W3H163,951,2,38,86.7,177.7,19.9,451000
W3H164,2631,4,46,40.9,61.9,13.1,872000
W3H165,826,1,17,93.5,170.4,27.7,473000
W3H166,2087,3,11,79,63.8,24.3,680000
W3H167,904,2,21,40.8,120.7,25.8,373000
W3H168,924,2,54,65.1,154.3,31.7,381000
W3H169,1712,3,58,37.2,139.6,22.5,623000
W3H170,687,1,54,77.1,144.7,21.4,334000
W3H171,3159,5,27,68.7,71.7,24.9,928000
W3H172,2432,4,65,67.6,163.7,20.8,843000
W3H173,3403,4,39,85.1,138,30.6,1027000
W3H174,2099,4,26,80,173,13.9,797000
W3H175,2290,5,40,36,179.4,12.8,794000
W3H176,2424,4,61,79.5,150.6,4.1,917000
W3H177,2024,2,30,65.2,156.6,30.3,639000
W3H178,2313,4,6,42.3,175.3,4,870000
W3H179,2338,2,21,52.6,146.3,29.3,764000
W3H180,3276,4,69,63.1,133.4,12.3,997000
